Vardas         Pavarde         ND1  ND2  ND3  ND4  ND5     Egz.
Vardas1        Pavarde1        6    7    3    5    3          6
Vardas2        Pavarde2        6    6    1    7    10         9
Vardas3        Pavarde3        2    7    7    8    1          7
Vardas4        Pavarde4        10   10   1    3    4          9
Vardas5        Pavarde5        5    5    5    4    10        10
Vardas6        Pavarde6        6    4    8    5    4          2
Vardas7        Pavarde7        3    9    3    10   10         2
Vardas8        Pavarde8        3    10   5    2    5          3
Vardas9        Pavarde9        2    2    8    10   5          4
Vardas10       Pavarde10       2    4    3    1    9          9
Vardas11       Pavarde11       4    6    8    7    4          3
Vardas12       Pavarde12       2    7    6    7    3          4
Vardas13       Pavarde13       8    7    3    3    3          3
Vardas14       Pavarde14       9    9    4    10   2          1
Vardas15       Pavarde15       3    7    10   1    9         10
Vardas16       Pavarde16       10   5    9    7    3          7
Vardas17       Pavarde17       7    7    1    7    10         7
Vardas18       Pavarde18       4    9    7    2    8          7
Vardas19       Pavarde19       5    6    2    7    4          1
Vardas20       Pavarde20       8    10   7    10   5          8
Vardas21       Pavarde21       7    4    7    1    8          5
Vardas22       Pavarde22       4    8    6    3    4          2
Vardas23       Pavarde23       4    1    7    8    2          1
Vardas24       Pavarde24       5    7    4    5    5          2
Vardas25       Pavarde25       4    7    2    8    2         10
Vardas26       Pavarde26       4    8    9    3    10         7
Vardas27       Pavarde27       6    6    10   9    7          4
Vardas28       Pavarde28       7    4    1    8    6         10
Vardas29       Pavarde29       10   2    2    8    1         10
Vardas30       Pavarde30       10   9    2    2    10         4
Vardas31       Pavarde31       9    3    10   6    10         9
Vardas32       Pavarde32       3    8    1    5    1          9
Vardas33       Pavarde33       6    1    6    6    3         10
Vardas34       Pavarde34       3    5    7    4    5          9
Vardas35       Pavarde35       7    2    5    3    7          4
Vardas36       Pavarde36       4    10   9    8    6          9
Vardas37       Pavarde37       5    1    6    4    7         10
Vardas38       Pavarde38       9    9    6    6    4          7
Vardas39       Pavarde39       6    6    7    2    9          7
Vardas40       Pavarde40       3    9    10   9    4          9
Vardas41       Pavarde41       10   10   5    3    10         1
Vardas42       Pavarde42       3    6    10   1    9          1
Vardas43       Pavarde43       5    1    6    6    6          2
Vardas44       Pavarde44       1    5    5    8    5          8
Vardas45       Pavarde45       8    5    2    5    4          6
Vardas46       Pavarde46       6    8    5    6    10         2
Vardas47       Pavarde47       10   5    6    9    10        10
Vardas48       Pavarde48       4    2    6    1    2          7
Vardas49       Pavarde49       9    3    4    10   9          3
Vardas50       Pavarde50       9    8    6    9    4          9
Vardas51       Pavarde51       6    6    7    2    1          6
Vardas52       Pavarde52       8    2    4    10   7          2
Vardas53       Pavarde53       6    9    1    2    6          8
Vardas54       Pavarde54       3    9    6    9    9          9
Vardas55       Pavarde55       3    9    1    1    8          9
Vardas56       Pavarde56       4    10   7    7    3          2
Vardas57       Pavarde57       7    10   5    2    1          3
Vardas58       Pavarde58       10   6    8    4    10         7
Vardas59       Pavarde59       2    10   7    7    5          2
Vardas60       Pavarde60       6    6    9    3    5          8
Vardas61       Pavarde61       3    7    3    9    3          3
Vardas62       Pavarde62       1    9    7    2    6          5
Vardas63       Pavarde63       4    6    9    5    5          3
Vardas64       Pavarde64       7    5    5    1    8          4
Vardas65       Pavarde65       2    6    6    10   3          5
Vardas66       Pavarde66       7    4    3    5    1          5
Vardas67       Pavarde67       3    6    2    10   6          8
Vardas68       Pavarde68       5    4    9    10   7          4
Vardas69       Pavarde69       8    7    1    9    7          9
Vardas70       Pavarde70       10   8    4    9    3          3
Vardas71       Pavarde71       7    2    8    2    2          2
Vardas72       Pavarde72       6    9    2    6    2          4
Vardas73       Pavarde73       1    2    6    5    2          7
Vardas74       Pavarde74       1    4    5    3    5          1
Vardas75       Pavarde75       7    3    5    6    4          8
Vardas76       Pavarde76       7    9    9    10   5          7
Vardas77       Pavarde77       6    8    10   4    2          6
Vardas78       Pavarde78       1    7    6    7    4          7
Vardas79       Pavarde79       5    4    4    2    5          9
Vardas80       Pavarde80       8    8    2    4    9          3
Vardas81       Pavarde81       1    9    2    4    7          7
Vardas82       Pavarde82       4    3    6    10   2          1
Vardas83       Pavarde83       4    7    7    5    6          9
Vardas84       Pavarde84       5    6    2    10   1          9
Vardas85       Pavarde85       5    2    10   1    4          2
Vardas86       Pavarde86       2    8    1    7    9          4
Vardas87       Pavarde87       7    5    9    7    4         10
Vardas88       Pavarde88       4    4    4    7    8          7
Vardas89       Pavarde89       3    2    7    7    9          8
Vardas90       Pavarde90       7    6    1    6    1          7
Vardas91       Pavarde91       8    2    3    10   4          1
Vardas92       Pavarde92       7    10   7    2    3          4
Vardas93       Pavarde93       4    3    4    4    1          1
Vardas94       Pavarde94       4    1    2    6    2          4
Vardas95       Pavarde95       6    9    1    2    1          1
Vardas96       Pavarde96       2    9    1    10   3         10
Vardas97       Pavarde97       2    7    2    9    5          5
Vardas98       Pavarde98       6    1    5    2    7          2
Vardas99       Pavarde99       8    1    7    6    2          9
Vardas100      Pavarde100      7    3    3    7    4          9
Vardas101      Pavarde101      6    9    1    1    3         10
Vardas102      Pavarde102      8    5    3    9    4          3
Vardas103      Pavarde103      5    5    2    1    10         1
Vardas104      Pavarde104      1    5    7    1    3          1
Vardas105      Pavarde105      3    3    1    10   6          5
Vardas106      Pavarde106      7    2    3    10   10         8
