Vardas         Pavarde         ND1  ND2  ND3  ND4  ND5     Egz.
Vardas1        Pavarde1        4    2    9    9    7         10
Vardas2        Pavarde2        7    10   5    4    7          4
Vardas3        Pavarde3        7    10   8    7    4          6
Vardas4        Pavarde4        2    5    5    9    8          8
Vardas5        Pavarde5        3    7    1    1    1          9
Vardas6        Pavarde6        5    1    4    6    2          6
Vardas7        Pavarde7        7    7    1    4    3          9
Vardas8        Pavarde8        1    1    10   1    1          9
Vardas9        Pavarde9        9    10   7    5    10         5
Vardas10       Pavarde10       8    3    10   6    10        10
Vardas11       Pavarde11       2    5    4    8    3          8
Vardas12       Pavarde12       9    4    6    9    8          4
Vardas13       Pavarde13       5    7    10   1    8          5
Vardas14       Pavarde14       1    9    5    10   2          4
Vardas15       Pavarde15       10   7    10   9    1          8
Vardas16       Pavarde16       5    6    7    10   5          4
Vardas17       Pavarde17       6    5    3    9    4          1
Vardas18       Pavarde18       7    1    3    8    2          4
Vardas19       Pavarde19       4    9    6    7    10         9
Vardas20       Pavarde20       7    10   5    10   2          7
Vardas21       Pavarde21       6    10   9    9    2          8
Vardas22       Pavarde22       5    9    1    2    1          3
Vardas23       Pavarde23       7    4    3    3    2          7
Vardas24       Pavarde24       2    4    2    2    10        10
Vardas25       Pavarde25       2    6    5    8    2          3
Vardas26       Pavarde26       5    5    1    5    10         9
Vardas27       Pavarde27       5    4    5    10   10         1
Vardas28       Pavarde28       4    3    4    8    5          9
Vardas29       Pavarde29       10   10   9    1    1          1
Vardas30       Pavarde30       4    8    3    6    7          8
Vardas31       Pavarde31       3    5    2    1    6          3
Vardas32       Pavarde32       7    6    6    9    5          3
Vardas33       Pavarde33       2    9    8    3    9          8
Vardas34       Pavarde34       1    7    2    1    7          3
Vardas35       Pavarde35       5    7    5    5    5          6
Vardas36       Pavarde36       4    10   6    7    9          1
Vardas37       Pavarde37       9    8    3    4    6          2
Vardas38       Pavarde38       10   6    1    3    6          5
Vardas39       Pavarde39       5    1    3    8    4          5
Vardas40       Pavarde40       1    5    10   8    4          3
Vardas41       Pavarde41       1    5    4    2    10         6
Vardas42       Pavarde42       5    7    6    9    6          9
Vardas43       Pavarde43       6    10   3    7    5          6
Vardas44       Pavarde44       8    5    8    6    8          1
Vardas45       Pavarde45       4    3    6    3    1          7
Vardas46       Pavarde46       3    8    8    4    4          4
Vardas47       Pavarde47       7    10   3    1    3          4
Vardas48       Pavarde48       4    4    8    6    6         10
Vardas49       Pavarde49       1    9    9    9    6          4
Vardas50       Pavarde50       5    10   7    7    10        10
Vardas51       Pavarde51       8    5    6    6    8          9
Vardas52       Pavarde52       2    4    7    10   7          5
Vardas53       Pavarde53       2    6    6    9    6          1
Vardas54       Pavarde54       6    4    5    3    10         5
Vardas55       Pavarde55       8    6    3    8    1          6
Vardas56       Pavarde56       9    4    5    3    2          7
Vardas57       Pavarde57       1    3    6    2    9          6
Vardas58       Pavarde58       6    8    1    8    2          4
Vardas59       Pavarde59       6    5    2    6    7          1
Vardas60       Pavarde60       9    3    8    3    7          1
Vardas61       Pavarde61       5    4    4    10   2          4
Vardas62       Pavarde62       2    2    4    7    10         6
Vardas63       Pavarde63       8    1    6    10   2          1
Vardas64       Pavarde64       4    5    9    1    8         10
Vardas65       Pavarde65       10   6    7    6    6          4
Vardas66       Pavarde66       5    8    5    4    6          8
Vardas67       Pavarde67       4    7    8    7    1          2
Vardas68       Pavarde68       5    7    2    7    4          4
Vardas69       Pavarde69       2    6    4    10   9          5
Vardas70       Pavarde70       8    5    8    1    8          2
Vardas71       Pavarde71       1    5    3    7    1         10
Vardas72       Pavarde72       6    1    8    9    1          2
Vardas73       Pavarde73       10   9    1    1    3          8
Vardas74       Pavarde74       5    8    8    5    5          1
Vardas75       Pavarde75       8    9    9    9    5          2
Vardas76       Pavarde76       9    10   10   1    6          5
Vardas77       Pavarde77       8    3    3    9    8          8
