Vardas                  Pavarde    Galutinis (Vid.)    Galutinis (Med.)
Vardas493            Pavarde493                5.00                5.40
Vardas532            Pavarde532                5.00                5.00
Vardas233            Pavarde233                5.00                5.00
Vardas659            Pavarde659                5.00                5.00
Vardas692            Pavarde692                5.00                5.00
Vardas992            Pavarde992                5.00                5.80
Vardas411            Pavarde411                5.04                5.60
Vardas32              Pavarde32                5.04                4.80
Vardas911            Pavarde911                5.04                5.20
Vardas191            Pavarde191                5.04                5.20
Vardas554            Pavarde554                5.04                4.80
Vardas942            Pavarde942                5.04                5.20
Vardas141            Pavarde141                5.04                4.80
Vardas633            Pavarde633                5.04                4.80
Vardas579            Pavarde579                5.04                4.80
Vardas801            Pavarde801                5.08                4.60
Vardas567            Pavarde567                5.08                4.60
Vardas874            Pavarde874                5.08                5.00
Vardas107            Pavarde107                5.08                5.00
Vardas303            Pavarde303                5.08                5.80
Vardas672            Pavarde672                5.08                5.00
Vardas800            Pavarde800                5.12                4.80
Vardas30              Pavarde30                5.12                4.80
Vardas344            Pavarde344                5.12                5.20
Vardas577            Pavarde577                5.12                4.80
Vardas97              Pavarde97                5.12                5.20
Vardas33              Pavarde33                5.12                4.80
Vardas675            Pavarde675                5.12                4.80
Vardas763            Pavarde763                5.12                5.20
Vardas148            Pavarde148                5.12                5.20
Vardas581            Pavarde581                5.16                5.00
Vardas968            Pavarde968                5.16                5.00
Vardas792            Pavarde792                5.16                5.80
Vardas744            Pavarde744                5.16                5.00
Vardas710            Pavarde710                5.16                4.60
Vardas408            Pavarde408                5.16                5.00
Vardas813            Pavarde813                5.20                4.80
Vardas14              Pavarde14                5.20                4.80
Vardas295            Pavarde295                5.20                4.40
Vardas544            Pavarde544                5.20                5.60
Vardas688            Pavarde688                5.20                5.20
Vardas585            Pavarde585                5.24                5.40
Vardas750            Pavarde750                5.24                4.60
Vardas946            Pavarde946                5.24                5.80
Vardas810            Pavarde810                5.24                5.40
Vardas796            Pavarde796                5.24                5.40
Vardas123            Pavarde123                5.28                5.60
Vardas265            Pavarde265                5.28                5.20
Vardas630            Pavarde630                5.28                5.20
Vardas167            Pavarde167                5.28                6.00
Vardas64              Pavarde64                5.32                5.80
Vardas963            Pavarde963                5.32                5.80
Vardas520            Pavarde520                5.32                5.00
Vardas403            Pavarde403                5.32                5.00
Vardas970            Pavarde970                5.32                5.00
Vardas219            Pavarde219                5.32                5.40
Vardas444            Pavarde444                5.32                5.40
Vardas853            Pavarde853                5.32                5.80
Vardas230            Pavarde230                5.32                5.80
Vardas67              Pavarde67                5.32                5.80
Vardas811            Pavarde811                5.32                5.40
Vardas950            Pavarde950                5.36                5.20
Vardas826            Pavarde826                5.36                5.60
Vardas814            Pavarde814                5.36                5.20
Vardas55              Pavarde55                5.36                4.80
Vardas139            Pavarde139                5.36                5.60
Vardas798            Pavarde798                5.36                5.20
Vardas8                Pavarde8                5.36                5.60
Vardas18              Pavarde18                5.36                5.20
Vardas213            Pavarde213                5.40                5.00
Vardas841            Pavarde841                5.40                5.00
Vardas610            Pavarde610                5.40                5.80
Vardas971            Pavarde971                5.40                5.40
Vardas600            Pavarde600                5.40                6.20
Vardas12              Pavarde12                5.40                5.40
Vardas478            Pavarde478                5.44                5.60
Vardas858            Pavarde858                5.44                5.60
Vardas155            Pavarde155                5.44                5.60
Vardas335            Pavarde335                5.44                5.20
Vardas927            Pavarde927                5.44                4.40
Vardas721            Pavarde721                5.44                6.00
Vardas449            Pavarde449                5.48                5.80
Vardas949            Pavarde949                5.48                5.40
Vardas93              Pavarde93                5.48                5.00
Vardas508            Pavarde508                5.48                5.40
Vardas696            Pavarde696                5.48                5.00
Vardas616            Pavarde616                5.48                5.00
Vardas687            Pavarde687                5.48                5.40
Vardas84              Pavarde84                5.48                5.80
Vardas831            Pavarde831                5.48                5.40
Vardas293            Pavarde293                5.48                5.40
Vardas443            Pavarde443                5.48                5.80
Vardas147            Pavarde147                5.48                6.60
Vardas227            Pavarde227                5.52                5.20
Vardas718            Pavarde718                5.52                5.60
Vardas941            Pavarde941                5.52                5.60
Vardas390            Pavarde390                5.52                5.20
Vardas878            Pavarde878                5.52                5.60
Vardas277            Pavarde277                5.52                6.00
Vardas569            Pavarde569                5.52                5.60
Vardas318            Pavarde318                5.56                6.20
Vardas760            Pavarde760                5.56                5.80
Vardas571            Pavarde571                5.60                6.00
Vardas989            Pavarde989                5.60                5.60
Vardas47              Pavarde47                5.60                6.00
Vardas519            Pavarde519                5.60                5.20
Vardas468            Pavarde468                5.60                5.60
Vardas119            Pavarde119                5.60                5.20
Vardas606            Pavarde606                5.60                5.20
Vardas583            Pavarde583                5.60                5.60
Vardas391            Pavarde391                5.64                5.80
Vardas329            Pavarde329                5.64                5.80
Vardas452            Pavarde452                5.64                5.80
Vardas267            Pavarde267                5.64                5.80
Vardas967            Pavarde967                5.64                6.20
Vardas757            Pavarde757                5.64                5.40
Vardas110            Pavarde110                5.64                5.80
Vardas855            Pavarde855                5.64                5.80
Vardas815            Pavarde815                5.64                5.80
Vardas380            Pavarde380                5.64                5.00
Vardas59              Pavarde59                5.68                5.60
Vardas9                Pavarde9                5.68                6.00
Vardas54              Pavarde54                5.68                5.60
Vardas939            Pavarde939                5.72                5.80
Vardas143            Pavarde143                5.72                5.00
Vardas575            Pavarde575                5.72                5.80
Vardas995            Pavarde995                5.72                5.80
Vardas642            Pavarde642                5.72                5.80
Vardas209            Pavarde209                5.72                6.20
Vardas483            Pavarde483                5.72                5.80
Vardas7                Pavarde7                5.76                5.60
Vardas844            Pavarde844                5.76                5.20
Vardas864            Pavarde864                5.76                5.60
Vardas466            Pavarde466                5.76                5.60
Vardas747            Pavarde747                5.76                5.60
Vardas324            Pavarde324                5.76                4.80
Vardas549            Pavarde549                5.76                6.00
Vardas195            Pavarde195                5.80                5.40
Vardas751            Pavarde751                5.80                5.40
Vardas602            Pavarde602                5.80                5.00
Vardas652            Pavarde652                5.80                5.40
Vardas317            Pavarde317                5.80                5.80
Vardas852            Pavarde852                5.80                5.40
Vardas186            Pavarde186                5.84                5.60
Vardas931            Pavarde931                5.84                6.40
Vardas578            Pavarde578                5.84                5.20
Vardas132            Pavarde132                5.84                6.00
Vardas53              Pavarde53                5.84                6.00
Vardas497            Pavarde497                5.88                5.40
Vardas406            Pavarde406                5.88                6.20
Vardas422            Pavarde422                5.88                6.60
Vardas723            Pavarde723                5.92                6.80
Vardas21              Pavarde21                5.92                6.00
Vardas159            Pavarde159                5.92                6.00
Vardas808            Pavarde808                5.92                6.00
Vardas5                Pavarde5                5.96                5.80
Vardas130            Pavarde130                5.96                5.80
Vardas759            Pavarde759                5.96                5.80
