Vardas                  Pavarde    Galutinis (Vid.)    Galutinis (Med.)
Vardas576            Pavarde576                1.72                1.80
Vardas548            Pavarde548                1.80                1.80
Vardas981            Pavarde981                1.88                1.40
Vardas446            Pavarde446                1.88                1.40
Vardas387            Pavarde387                1.88                1.40
Vardas494            Pavarde494                1.96                1.40
Vardas395            Pavarde395                2.04                1.80
Vardas715            Pavarde715                2.04                1.40
Vardas724            Pavarde724                2.12                2.20
Vardas229            Pavarde229                2.12                1.40
Vardas63              Pavarde63                2.12                2.20
Vardas439            Pavarde439                2.12                2.20
Vardas637            Pavarde637                2.16                2.00
Vardas748            Pavarde748                2.20                2.20
Vardas196            Pavarde196                2.20                1.80
Vardas359            Pavarde359                2.20                2.20
Vardas336            Pavarde336                2.20                2.20
Vardas586            Pavarde586                2.20                1.40
Vardas268            Pavarde268                2.20                2.20
Vardas776            Pavarde776                2.20                2.20
Vardas254            Pavarde254                2.28                1.80
Vardas206            Pavarde206                2.28                1.80
Vardas782            Pavarde782                2.28                2.60
Vardas306            Pavarde306                2.28                1.40
Vardas601            Pavarde601                2.32                2.40
Vardas208            Pavarde208                2.36                1.80
Vardas255            Pavarde255                2.36                2.20
Vardas819            Pavarde819                2.36                2.60
Vardas393            Pavarde393                2.36                1.40
Vardas308            Pavarde308                2.36                1.80
Vardas935            Pavarde935                2.40                2.00
Vardas87              Pavarde87                2.44                2.20
Vardas767            Pavarde767                2.44                2.20
Vardas451            Pavarde451                2.48                2.00
Vardas180            Pavarde180                2.52                2.20
Vardas816            Pavarde816                2.52                2.60
Vardas604            Pavarde604                2.52                2.60
Vardas239            Pavarde239                2.52                2.60
Vardas490            Pavarde490                2.52                1.80
Vardas153            Pavarde153                2.52                1.40
Vardas934            Pavarde934                2.52                3.00
Vardas316            Pavarde316                2.52                2.20
Vardas24              Pavarde24                2.52                2.60
Vardas81              Pavarde81                2.56                2.00
Vardas315            Pavarde315                2.60                2.20
Vardas702            Pavarde702                2.60                1.80
Vardas725            Pavarde725                2.60                2.20
Vardas507            Pavarde507                2.60                2.20
Vardas286            Pavarde286                2.60                1.80
Vardas41              Pavarde41                2.68                3.00
Vardas612            Pavarde612                2.68                3.00
Vardas135            Pavarde135                2.68                2.60
Vardas774            Pavarde774                2.72                2.40
Vardas487            Pavarde487                2.72                2.00
Vardas471            Pavarde471                2.76                2.60
Vardas592            Pavarde592                2.76                2.60
Vardas193            Pavarde193                2.76                3.00
Vardas987            Pavarde987                2.76                3.00
Vardas658            Pavarde658                2.76                2.60
Vardas288            Pavarde288                2.76                2.60
Vardas305            Pavarde305                2.76                3.00
Vardas242            Pavarde242                2.80                2.00
Vardas871            Pavarde871                2.80                2.40
Vardas198            Pavarde198                2.84                3.00
Vardas835            Pavarde835                2.84                3.00
Vardas334            Pavarde334                2.84                2.20
Vardas807            Pavarde807                2.84                2.60
Vardas90              Pavarde90                2.84                2.20
Vardas638            Pavarde638                2.84                2.60
Vardas704            Pavarde704                2.84                3.40
Vardas901            Pavarde901                2.84                2.20
Vardas189            Pavarde189                2.84                2.20
Vardas270            Pavarde270                2.88                2.80
Vardas917            Pavarde917                2.88                3.20
Vardas906            Pavarde906                2.88                3.20
Vardas572            Pavarde572                2.92                3.40
Vardas179            Pavarde179                2.92                3.00
Vardas993            Pavarde993                2.92                3.00
Vardas428            Pavarde428                2.92                3.40
Vardas655            Pavarde655                2.92                3.00
Vardas512            Pavarde512                2.92                3.00
Vardas377            Pavarde377                2.92                3.00
Vardas116            Pavarde116                2.92                3.00
Vardas3                Pavarde3                2.96                2.80
Vardas50              Pavarde50                2.96                2.80
Vardas401            Pavarde401                2.96                3.20
Vardas535            Pavarde535                2.96                2.40
Vardas691            Pavarde691                2.96                2.80
Vardas136            Pavarde136                3.00                3.40
Vardas341            Pavarde341                3.00                3.00
Vardas58              Pavarde58                3.00                2.60
Vardas651            Pavarde651                3.00                3.80
Vardas2                Pavarde2                3.00                3.00
Vardas160            Pavarde160                3.00                3.00
Vardas839            Pavarde839                3.00                3.80
Vardas857            Pavarde857                3.00                3.40
Vardas707            Pavarde707                3.04                2.80
Vardas851            Pavarde851                3.04                2.80
Vardas106            Pavarde106                3.04                3.60
Vardas361            Pavarde361                3.04                2.40
Vardas923            Pavarde923                3.04                3.20
Vardas211            Pavarde211                3.08                3.40
Vardas795            Pavarde795                3.08                3.40
Vardas417            Pavarde417                3.08                3.00
Vardas564            Pavarde564                3.08                3.00
Vardas693            Pavarde693                3.08                3.40
Vardas101            Pavarde101                3.08                3.00
Vardas850            Pavarde850                3.12                3.20
Vardas746            Pavarde746                3.12                2.80
Vardas247            Pavarde247                3.12                2.40
Vardas461            Pavarde461                3.12                2.80
Vardas399            Pavarde399                3.12                2.40
Vardas896            Pavarde896                3.12                2.80
Vardas682            Pavarde682                3.16                3.40
Vardas61              Pavarde61                3.16                3.00
Vardas283            Pavarde283                3.16                3.00
Vardas969            Pavarde969                3.16                3.00
Vardas420            Pavarde420                3.16                3.00
Vardas424            Pavarde424                3.16                2.60
Vardas666            Pavarde666                3.16                2.60
Vardas263            Pavarde263                3.16                3.40
Vardas880            Pavarde880                3.16                3.00
