Vardas         Pavarde         ND1  ND2  ND3  ND4  ND5     Egz.
Vardas1                Pavarde1    6    7    1    8    3      2
Vardas2                Pavarde2    9    2   10    6    3      1
Vardas3                Pavarde3    1    8    8    4    1      2
Vardas4                Pavarde4    5    4   10    3    1      9
Vardas5                Pavarde5    4    3    3    4    8      7
Vardas6                Pavarde6    5    2    1    1    6      5
Vardas7                Pavarde7    4    3    2    2    1      8
Vardas8                Pavarde8    8    9    7    5    8      4
Vardas9                Pavarde9    7    8    1    6    4      6
Vardas10              Pavarde10   10    8   10   10    4      1
Vardas11              Pavarde11    7    4    2    1    7      9
Vardas12              Pavarde12    6    6    7    8    3      5
Vardas13              Pavarde13    7    1    8    3    9      9
Vardas14              Pavarde14    3   10    1    5    1      6
Vardas15              Pavarde15    8    6    4    1    3      3
Vardas16              Pavarde16    9    8    7    9    8      8
Vardas17              Pavarde17    1    6    6    1   10      7
Vardas18              Pavarde18    5    7    8    7   10      4
Vardas19              Pavarde19    5    1    7    3   10      8
Vardas20              Pavarde20    3    5    5    7    6      7
Vardas21              Pavarde21    7    6    4    4    8      6
Vardas22              Pavarde22    7    9   10    3    5      6
Vardas23              Pavarde23    4    1    8    1    6      5
Vardas24              Pavarde24    3    6    4    6    5      1
Vardas25              Pavarde25    8   10    3    9    4      8
Vardas26              Pavarde26    3   10    6    7    4      2
Vardas27              Pavarde27    9    1    9    6    4     10
Vardas28              Pavarde28    5    6    1    9    3     10
Vardas29              Pavarde29    3    6    3    4    6      5
Vardas30              Pavarde30    6   10   10    4    4      4
Vardas31              Pavarde31    7    8    5    9    8      8
Vardas32              Pavarde32    9    6    4    9    5      4
Vardas33              Pavarde33    8    5    3    2    1      6
Vardas34              Pavarde34   10    6    5    8    3      3
Vardas35              Pavarde35    5    5    6    1    8      9
Vardas36              Pavarde36    1    8    8    7   10      2
Vardas37              Pavarde37    7    8    2    5    1     10
Vardas38              Pavarde38    1    6    4    8   10      9
Vardas39              Pavarde39   10    7    6    1    1      9
Vardas40              Pavarde40    9    4    3    5    1      9
Vardas41              Pavarde41    2    6   10    7    1      1
Vardas42              Pavarde42    5    2    8    2    4     10
Vardas43              Pavarde43   10    6    8    3    6      8
Vardas44              Pavarde44    9    8    4    1    2     10
Vardas45              Pavarde45    2    2    4    9    4      4
Vardas46              Pavarde46    4    1    8   10    3      3
Vardas47              Pavarde47    6    2    6    4    7      6
Vardas48              Pavarde48    3    3    1    7    9      7
Vardas49              Pavarde49    8    8    1    1    3      4
Vardas50              Pavarde50   10    1    4    5    2      2
Vardas51              Pavarde51    8    4    3    2    8      8
Vardas52              Pavarde52    3    4    9    7    4      8
Vardas53              Pavarde53    2    6    6    5    9      6
Vardas54              Pavarde54    5    4    4    6    7      6
Vardas55              Pavarde55    3    2    9    2    6      6
Vardas56              Pavarde56    2    2    1    3    7      8
Vardas57              Pavarde57    8    6    2    2   10      9
Vardas58              Pavarde58    2    3    1    2    7      3
Vardas59              Pavarde59    5    6    5    9    1      6
Vardas60              Pavarde60    8    8    5    5    1      9
Vardas61              Pavarde61   10    1    5   10    6      1
Vardas62              Pavarde62   10    3    9   10    3      3
Vardas63              Pavarde63    2    6    1    4    6      1
Vardas64              Pavarde64    5    7    7    1    9      5
Vardas65              Pavarde65    9    6    9    6    3      6
Vardas66              Pavarde66    3    5    8    9    2     10
Vardas67              Pavarde67    9    7    2    2    9      5
Vardas68              Pavarde68    1    6    7   10    4     10
Vardas69              Pavarde69    1    9   10    5    2      3
Vardas70              Pavarde70    4    2    3    7    1      6
Vardas71              Pavarde71    2    1    5    5   10      5
Vardas72              Pavarde72    2    9    7    4    5     10
Vardas73              Pavarde73    7    1    7   10    1      9
Vardas74              Pavarde74    1    5    6    4    1      6
Vardas75              Pavarde75    8    6    9    9    6      7
Vardas76              Pavarde76    2    3    5    2   10      3
Vardas77              Pavarde77    8    1    1    4    5      4
Vardas78              Pavarde78    5    9   10    2    2     10
Vardas79              Pavarde79    8    8    9    3    9      7
Vardas80              Pavarde80    1    8    5    1    9      5
Vardas81              Pavarde81    2    2    3    2    8      2
Vardas82              Pavarde82    9    9    9    3    6      9
Vardas83              Pavarde83    8    7    5   10    8      7
Vardas84              Pavarde84    8    2    8    7    6      5
Vardas85              Pavarde85    6    3    1    3    7      5
Vardas86              Pavarde86    6    1    3    7    1      9
Vardas87              Pavarde87    3    6    4    7    3      1
Vardas88              Pavarde88    4    9    3    3    6     10
Vardas89              Pavarde89    9    2    2    6    1      8
Vardas90              Pavarde90    2   10    8    4    4      1
Vardas91              Pavarde91    6   10    2    7    3      3
Vardas92              Pavarde92    1    7    9    8    9      2
Vardas93              Pavarde93    1    4    8    1    2      7
Vardas94              Pavarde94    1    5    9    7    4      3
Vardas95              Pavarde95    5    2    8    4    3      8
Vardas96              Pavarde96    6    1    7    4    3      9
Vardas97              Pavarde97    8    8    4    7    7      4
Vardas98              Pavarde98    9    2   10    1    4      3
Vardas99              Pavarde99    2    9   10   10   10      9
Vardas100            Pavarde100    1    2    4    2    5      4
Vardas101            Pavarde101    4    6   10    3    8      1
Vardas102            Pavarde102    7   10    5   10    3      7
Vardas103            Pavarde103    1    5    6    5   10      2
Vardas104            Pavarde104    4    4    8    5    2      4
Vardas105            Pavarde105    9    7    1    3    3     10
Vardas106            Pavarde106    2    7    2    6    6      2
Vardas107            Pavarde107    4    5    9    7    1      5
Vardas108            Pavarde108    1    6    4    3    9      8
Vardas109            Pavarde109    5    9    2    7    4      4
Vardas110            Pavarde110    6    9   10    1    7      5
Vardas111            Pavarde111    6    2    6    9    6     10
Vardas112            Pavarde112    9    5   10    1    8      1
Vardas113            Pavarde113   10    9    6    7    6      8
Vardas114            Pavarde114    9    5    3   10    6     10
Vardas115            Pavarde115    5    1    7    4    2      9
Vardas116            Pavarde116    6    5    1    8    9      1
Vardas117            Pavarde117    9    8    9    4    4      8
Vardas118            Pavarde118    6    6    1    2    5      4
Vardas119            Pavarde119    3    2    7    9    4      6
Vardas120            Pavarde120    7    5    9   10    8      7
Vardas121            Pavarde121    7    1   10    5    8      4
Vardas122            Pavarde122    1    8    1    9    5      4
Vardas123            Pavarde123    7   10    8    1   10      4
Vardas124            Pavarde124    3    3    3    4   10      7
Vardas125            Pavarde125    1    1    7    9    4      5
Vardas126            Pavarde126    9    7    8    6    4      8
Vardas127            Pavarde127    5   10    1    2    9      8
Vardas128            Pavarde128    8    6    8    5    6     10
Vardas129            Pavarde129    7    5    9    9   10      5
Vardas130            Pavarde130    7    9    4    1    1      7
Vardas131            Pavarde131    8    9    7    1    5      6
Vardas132            Pavarde132    8    1    6    8    5      6
Vardas133            Pavarde133    8    3    2    2    2      6
Vardas134            Pavarde134   10    9    4    5    6      9
Vardas135            Pavarde135    4    1    5    8    8      1
Vardas136            Pavarde136    9    2    7    8    4      1
Vardas137            Pavarde137    7    9    3    4    3      4
Vardas138            Pavarde138    4    9    6   10    5      3
Vardas139            Pavarde139    2    5    8    2    5      6
Vardas140            Pavarde140    7    4    1   10    5      7
Vardas141            Pavarde141    1    5    7    3    2      6
Vardas142            Pavarde142    7   10    4    8    9     10
Vardas143            Pavarde143    1   10    1    5    2      7
Vardas144            Pavarde144    6    4    4    8   10      6
Vardas145            Pavarde145    5    7    7    2    8      8
Vardas146            Pavarde146    9    9    2   10    9     10
Vardas147            Pavarde147    9    9    2    2    9      5
Vardas148            Pavarde148    7    4    8    6    9      4
Vardas149            Pavarde149    8    7    7    3    3      2
Vardas150            Pavarde150    3    1    8    1    8      3
Vardas151            Pavarde151    9    6    4    2    5      3
Vardas152            Pavarde152    9    7    1   10    6      2
Vardas153            Pavarde153   10    9    2    2    1      1
Vardas154            Pavarde154    7    3    6    6    5      7
Vardas155            Pavarde155    5    5    9    1    3      6
Vardas156            Pavarde156    5    3    5   10    8     10
Vardas157            Pavarde157    4    7    4    1    3      8
Vardas158            Pavarde158    6    5    8    4    5      9
Vardas159            Pavarde159   10    8    9    7   10      4
Vardas160            Pavarde160    9   10    4    6    1      1
Vardas161            Pavarde161    1   10    8    8    7      8
Vardas162            Pavarde162    9   10   10    4    5      3
Vardas163            Pavarde163    7    7    3    3    5      8
Vardas164            Pavarde164    9    5    6    7    8      1
Vardas165            Pavarde165    5    6    6    1    2      5
Vardas166            Pavarde166    2    2    8   10    8     10
Vardas167            Pavarde167    5    9   10    3    9      4
Vardas168            Pavarde168    3    9    9    7    2      9
Vardas169            Pavarde169    9    8    9    1    1     10
Vardas170            Pavarde170    6    3    7    3    3      3
Vardas171            Pavarde171    7   10    6    2    2      2
Vardas172            Pavarde172    7    1    5    4    2     10
Vardas173            Pavarde173    2    7   10    2    1     10
Vardas174            Pavarde174    5    6    8    6    2     10
Vardas175            Pavarde175    4    8    8    3    5      3
Vardas176            Pavarde176    3    2    9    8    1     10
Vardas177            Pavarde177    3    6   10    7   10      9
Vardas178            Pavarde178    3    7    1    6    5      3
Vardas179            Pavarde179    7    5    3    6    8      1
Vardas180            Pavarde180    2   10    5    3    4      1
Vardas181            Pavarde181    4    8    5    1    8      3
Vardas182            Pavarde182    9    9    1    9    8      6
Vardas183            Pavarde183    7    8    9   10    1     10
Vardas184            Pavarde184    9    6    2    8    7      6
Vardas185            Pavarde185    1    3    8    4    3      9
Vardas186            Pavarde186    3    5    8    3    9      6
Vardas187            Pavarde187    7    3    8    3    1      9
Vardas188            Pavarde188    7    9    8    8    1      3
Vardas189            Pavarde189    4   10    7    3    4      1
Vardas190            Pavarde190    6    3    3   10    3      8
Vardas191            Pavarde191   10    9    6    1    7      4
Vardas192            Pavarde192   10    6    6    7    7      3
Vardas193            Pavarde193    8    6    4    1    8      1
Vardas194            Pavarde194    3    4   10   10    8      3
Vardas195            Pavarde195    2    5    7    3    3      7
Vardas196            Pavarde196    8    5    3    3    1      1
Vardas197            Pavarde197    1    5    4    6   10      8
Vardas198            Pavarde198    2    6    8    9    3      1
Vardas199            Pavarde199    1    7    2    7    3      3
Vardas200            Pavarde200   10    9    6    5    1      7
Vardas201            Pavarde201    5   10    4    8    8      7
Vardas202            Pavarde202    3    7   10    2    1      8
Vardas203            Pavarde203    8    7    4    6   10      6
Vardas204            Pavarde204    7    5    9   10    9      6
Vardas205            Pavarde205    9    5    4   10    1      7
Vardas206            Pavarde206    3    4    3    3    8      1
Vardas207            Pavarde207    5    4    2    1    9     10
Vardas208            Pavarde208    2    3    6    2    9      1
Vardas209            Pavarde209    8    8    4    8    6      5
Vardas210            Pavarde210    1    5    3    6    6      5
Vardas211            Pavarde211    7    9    8    2    5      1
Vardas212            Pavarde212    7    7    2   10    1      3
Vardas213            Pavarde213    1    6    2    2    4      7
Vardas214            Pavarde214    1   10    8    5    1      4
Vardas215            Pavarde215   10    7    9    8    3      7
Vardas216            Pavarde216    1    6    3    1    1      9
Vardas217            Pavarde217    9   10    1    3    3      4
Vardas218            Pavarde218    6    3    4    6    3      9
Vardas219            Pavarde219    3    4    1    2    4      7
Vardas220            Pavarde220    3    3    7   10    6      4
Vardas221            Pavarde221    9    8    9    7    1      2
Vardas222            Pavarde222   10    6    7    2    3      9
Vardas223            Pavarde223   10    6    8    3    5     10
Vardas224            Pavarde224    9    9    6    5    8      8
Vardas225            Pavarde225    6    3    7    7    7      4
Vardas226            Pavarde226    1    2    8    7    3      9
Vardas227            Pavarde227    2    3   10    4    5      6
Vardas228            Pavarde228    8   10    1    8    4      8
Vardas229            Pavarde229    2    2    9    1    5      1
Vardas230            Pavarde230    4    8    2    7    8      5
Vardas231            Pavarde231    3    1    6    7   10      8
Vardas232            Pavarde232    4    1    8    5   10      4
Vardas233            Pavarde233    1    7    3    5    9      5
Vardas234            Pavarde234    3    5    5    9    3      9
Vardas235            Pavarde235    9    8    5   10    7     10
Vardas236            Pavarde236    8    9    3    6    4      3
Vardas237            Pavarde237    2   10    1    6    6      3
Vardas238            Pavarde238    7   10    8    3    6      8
Vardas239            Pavarde239    6    5    6    5    2      1
Vardas240            Pavarde240    4    8    4    8    4      2
Vardas241            Pavarde241    9    2   10    5    3     10
Vardas242            Pavarde242    2   10    5    2    1      2
Vardas243            Pavarde243    4    7    4   10    2      8
Vardas244            Pavarde244    5    5    6    4    2      8
Vardas245            Pavarde245    9    4    5    4    8      3
Vardas246            Pavarde246    5    1    6    5    8      8
Vardas247            Pavarde247    9    2    9    1    3      2
Vardas248            Pavarde248    4    7    2    9    8      4
Vardas249            Pavarde249   10    2   10    5    5      3
Vardas250            Pavarde250    5    2    8    9    5     10
Vardas251            Pavarde251    3    6    7    7    2      2
Vardas252            Pavarde252    8    3    7    5    4      9
Vardas253            Pavarde253    7    6    7    5   10      7
Vardas254            Pavarde254    8    2    3    1    7      1
Vardas255            Pavarde255    3    5    6    4    4      1
Vardas256            Pavarde256    3    9    9    5    9      2
Vardas257            Pavarde257    4    5    5    4    7      4
Vardas258            Pavarde258    2    1    5    8    4      8
Vardas259            Pavarde259    2    9   10    4    8      1
Vardas260            Pavarde260    9    6    8    3    5      9
Vardas261            Pavarde261    5    2   10    7    2     10
Vardas262            Pavarde262    2    7    3   10    6      8
Vardas263            Pavarde263    7    8    8    7    2      1
Vardas264            Pavarde264    1    6   10    8    5      6
